title,price,rating,total_reviews,product_description,reviews,reviews_rating,Shoe Type,word_count,char_count,title_length,price_length,rating_length,total_reviews_length,product_description_length,reviews_length,reviews_rating_length,Shoe Type_length,text_length,reviews_stemmed,title_stemmed,reviews_lemmatized,title_lemmatized,reviews_sentiment,sentiment_category,sentiment_encoded
lancer mens sports running shoes,,3.5,,LANCER brand includes the company's sports shoe sandals floaters and slippers range which signifies today's youth image. These uniquely designed Footwear's give you the comfort you need with the style you want. It comes in various range & variety and hence fulfills the need of all.,nice dont buy shoes worst quality delivery late great shoe plz order one bigger size usual poor quality product product good size may vary worth buying cheap material good good shine fine product,5.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 4.0 out of 5 stars|| 4.0 out of 5 stars|| 2.0 out of 5 stars|| 2.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars,Men,46,282,33,7,18,10,282,265,207,3,265,nice dont buy shoe worst qualiti deliveri late great shoe plz order one bigger size usual poor qualiti product product good size may vari worth buy cheap materi good good shine fine product,lancer men sport run shoe,nice dont buy shoe worst quality delivery late great shoe plz order one bigger size usual poor quality product product good size may vary worth buying cheap material good good shine fine product,lancer men sport running shoe,0.20512820512820512,Positive,1
bond street red tape mens bsa walking shoes,,4.0,,Designed with a stylish lace up closure these sports shoes by Bond Street by (Red Tape) is exclusively crafted for those sporty men who are in love with fashion. Possessing a perfect combo of design and style these shoes have high quality flyknit material and EVA sole to assures its durability. Having cushioned footbed to give comfort to your feet these shoes are going to be your perfect companion for casual walks. Team them with your casual attire to complete the look.Product color may slightly vary due to photographic lighting sources or your monitor settings.,quality poor dont recommend one word nyc comfortable,2.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars,Men,95,568,52,7,18,10,568,67,60,3,67,qualiti poor dont recommend one word nyc comfort,bond street red tape men bsa walk shoe,quality poor dont recommend one word nyc comfortable,bond street red tape men bsa walking shoe,0.0,Neutral,0
clymb stylish comfortable casual sneaker mens combo pack shoes greenblack numeric,,2.5,,CLYMB is the leading manufacturer of sports and casual footwear. CLYMB offers performance and sport-inspired lifestyle products in categories such as Running Training and Fitness. Using high technology and design innovation Ethics continually creates what is aspired and not just what is necessary. All Ethics products are meant to deliver high performance durability and great comfort. This CLYMB Sports Running shoe for men is extremely stylish it has EVA Bounce Back sole which gives extreme comfort during walking jogging running and in extreme playing conditions .This product has soft foam insert for amazing comfort.,online shopping trusted best range bad quality increase size froud,1.0 out of 5 stars|| 4.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars,Men,94,623,95,7,18,10,623,105,102,3,105,onlin shop trust best rang bad qualiti increas size froud,clymb stylish comfort casual sneaker men combo pack shoe greenblack numer,online shopping trusted best range bad quality increase size froud,clymb stylish comfortable casual sneaker men combo pack shoe greenblack numeric,0.15000000000000008,Positive,1
bond street red tape mens bsa walking shoes,,4.1,,Perfect for your casual walks and needs these stylish sports shoes are exclusively designed by Bond Street by (Red Tape) in sync with the latest trends. Featuring high quality flyknit material these shoes have cushioned footbed to ensure the flawless wearing comfort. Along with stylish & evergreen lace up closure these shoes also have EVA soles to assure the utmost durability you can team these with your smart casual attire.Product color may slightly vary due to photographic lighting sources or your monitor settings.,desirable product price copy product super comfy shoes price good compared shops since thick inner sole comfortable walking nice good quality fitting light price great product nice best everything,5.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars,Men,83,522,52,7,18,10,522,305,207,3,305,desir product price copi product super comfi shoe price good compar shop sinc thick inner sole comfort walk nice good qualiti fit light price great product nice best everyth,bond street red tape men bsa walk shoe,desirable product price copy product super comfy shoe price good compared shop since thick inner sole comfortable walking nice good quality fitting light price great product nice best everything,bond street red tape men bsa walking shoe,0.441025641025641,Positive,1
centrino men black formal shoes uk eu us,,4.1,,The product will be an excellent pick for you. It ensures an easy maintenance.,average quality product fit smaller expected better quality good discounted price quality good good quality suits requirement,3.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 3.0 out of 5 stars|| 3.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars,Men,14,78,67,7,18,10,78,174,207,3,174,averag qualiti product fit smaller expect better qualiti good discount price qualiti good good qualiti suit requir,centrino men black formal shoe uk eu us,average quality product fit smaller expected better quality good discounted price quality good good quality suit requirement,centrino men black formal shoe uk eu u,0.34375,Positive,1
dock men loafer shoes formal shoe menoffice wear shoedaily use long life loafer shoes men men velvet loafer shoes mocassion shoes men loafers men stylish,,3.5,,DOCK Men's Velvet Loafer is one of the premium product.It has been designed keeping in mind the comfort and durability which translates into customer satisfaction. The upper material is made of Velvet. The inner body has been equipped with cushioning material to give lasting comfort to your feet. The sole is made of TPR which is considered to be the best among soles. It is lightweight and offers durability and sturdiness to the shoe.It can be worn on casual and ceremony occasion use shoe bags to protect from stains and mildew. This Footwear Is Lightweight And Highly Comfortable.,good quality must buy good superb bad quality mast hai lelo,4.0 out of 5 stars|| 2.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 4.0 out of 5 stars,Men,98,585,180,7,18,10,585,78,144,3,78,good qualiti must buy good superb bad qualiti mast hai lelo,dock men loafer shoe formal shoe menoffic wear shoedaili use long life loafer shoe men men velvet loafer shoe mocass shoe men loafer men stylish,good quality must buy good superb bad quality mast hai lelo,dock men loafer shoe formal shoe menoffice wear shoedaily use long life loafer shoe men men velvet loafer shoe mocassion shoe men loafer men stylish,0.42500000000000004,Positive,1
bourge mens loirez running shoes,,4.1,,Bourge is the leading manufacturer of sports and casual footwear both for men’s & women’s. Bourge offers performance and sport-inspired lifestyle products in categories such as running Training and Fitness. Using high technology and design innovation Bourge continually creates what is aspired and not just what is necessary. All Bourge products are meant to deliver high performance durability and great comfort. This Bourge sports Running shoe for men is extremely stylish It has eva bounce back sole which gives extreme comfort during walking jogging running and in extreme playing conditions.This product has soft foam insert for amazing comfort. Bourge has wide range of floater of which one can choose as per occasion. Apart form trendy it’s also comfortable has good breathability and grip.,excellent quality ok fit ok great price best fitting design price happy bad quality work good product light wear insole bit cushiony manageable good enough except size problem decent product decently priced symmetry loved bourge required cushion backside else perfect product price range,5.0 out of 5 stars|| 3.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 2.0 out of 5 stars|| 4.0 out of 5 stars|| 4.0 out of 5 stars|| 3.0 out of 5 stars|| 5.0 out of 5 stars|| 3.0 out of 5 stars,Men,123,797,37,7,18,12,797,390,207,3,390,excel qualiti ok fit ok great price best fit design price happi bad qualiti work good product light wear insol bit cushioni manag good enough except size problem decent product decent price symmetri love bourg requir cushion backsid els perfect product price rang,bourg men loirez run shoe,excellent quality ok fit ok great price best fitting design price happy bad quality work good product light wear insole bit cushiony manageable good enough except size problem decent product decently priced symmetry loved bourge required cushion backside else perfect product price range,bourge men loirez running shoe,0.507843137254902,Positive,1
sparx mens scg sneakers,,4.2,,Sparx is a spectacular range of footwear from the house of Relaxo Footwears Ltd. a name trusted among millions of people in India and across the world for delivering unmatched quality. Since its inception the company has established a benchmark for bringing the finest range of footwears.,nothing great nothing bad well disappointed hurt good image good product good product good fitting comfortable super product fraud stylish shoes affordable price sole good expected otherwise okay attractive buyworthy,3.0 out of 5 stars|| 1.0 out of 5 stars|| 3.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 2.0 out of 5 stars|| 5.0 out of 5 stars,Men,47,288,28,7,18,11,288,305,207,3,305,noth great noth bad well disappoint hurt good imag good product good product good fit comfort super product fraud stylish shoe afford price sole good expect otherwis okay attract buyworthi,sparx men scg sneaker,nothing great nothing bad well disappointed hurt good image good product good product good fitting comfortable super product fraud stylish shoe affordable price sole good expected otherwise okay attractive buyworthy,sparx men scg sneaker,0.3614583333333334,Positive,1
campus mens harrow running shoes,,3.8,,Stay comfortable while playing by wearing this pair from Campus. The premium quality upper adds to the overall look and provides necessary cushioning to your feet. It will offer a good grip and negate the chances of accidental slips owing to its slip-resistant sole. The Air capsule technology detail at the heel made of TPU which is crack resistant fully padded sock lining for ultimate comfort and has EVA midsole with phylon outsole adds durability and make this pair a worth buy.,nice shoes light weight nice good jaise dikhay waise quality nahi hai,5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 3.0 out of 5 stars,Men,82,483,33,7,18,10,483,88,81,3,88,nice shoe light weight nice good jais dikhay wais qualiti nahi hai,campu men harrow run shoe,nice shoe light weight nice good jaise dikhay waise quality nahi hai,campus men harrow running shoe,0.575,Positive,1
sparx mens sdg loafer,,4.2,,Flaunt with these stylish and unique navy white casual shoes as per the latest fashion trend from the house of Sparx. Super comfortable casual shoes with Mesh as upper material and EVA as sole material.,comfortable nice worth good shoew worth buy nice,4.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars,Men,35,202,26,7,18,10,202,61,123,3,61,comfort nice worth good shoew worth buy nice,sparx men sdg loafer,comfortable nice worth good shoew worth buy nice,sparx men sdg loafer,0.48333333333333334,Positive,1
tying mens training shoe,,3.3,,Elevate your style with this classy pair of Training Shoe from the house of TYING brand. Featuring a contemporary refined design with exceptional comfort this pair is perfect to give your quintessential dressing an upgrade.,go better one like sega good product poor services worth money may ok walking short distance definitely running pain toes low quality dont buy quality satisfactory ok ok quality good go,1.0 out of 5 stars|| 2.0 out of 5 stars|| 3.0 out of 5 stars|| 3.0 out of 5 stars|| 2.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars,Men,35,223,25,7,18,12,223,287,207,3,287,go better one like sega good product poor servic worth money may ok walk short distanc definit run pain toe low qualiti dont buy qualiti satisfactori ok ok qualiti good go,tie men train shoe,go better one like sega good product poor service worth money may ok walking short distance definitely running pain toe low quality dont buy quality satisfactory ok ok quality good go,tying men training shoe,0.3,Positive,1
unistar mens boots,,3.8,,High Quality Training/Running Shoes Specially Desined For Army Jawans And Officers. Manufactured On Italian Rotary Machine With Superior Quality Of Raw Material. The Shoes Are Designed To Withstand The Rigorous Training And Practice.,good mrp printed shoe sold good ok product worthy check size good nyzzz good product buy like fantastic boots awesome value money overcharged mrp,4.0 out of 5 stars|| 2.0 out of 5 stars|| 3.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 3.0 out of 5 stars,Men,33,233,19,7,18,11,233,237,207,3,237,good mrp print shoe sold good ok product worthi check size good nyzzz good product buy like fantast boot awesom valu money overcharg mrp,unistar men boot,good mrp printed shoe sold good ok product worthy check size good nyzzz good product buy like fantastic boot awesome value money overcharged mrp,unistar men boot,0.6291666666666668,Positive,1
amazon brand symbol mens synthetic formal shoes,,3.8,,Our wide variety of formal casual and athletic footwear is made keeping you in mind. Available in a plethora of colours shapes and materials Symbol shoes have been crafted with the single-minded objective of comfort style and longevity. All of this at a price you simple can’t say no to.,worthy stylish professional look totally satisfied satisfying product premium best price finishing great shoe looks dam standard nice product amazing product quality value money good,5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 4.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars,Men,50,287,50,7,18,11,287,230,207,3,230,worthi stylish profession look total satisfi satisfi product premium best price finish great shoe look dam standard nice product amaz product qualiti valu money good,amazon brand symbol men synthet formal shoe,worthy stylish professional look totally satisfied satisfying product premium best price finishing great shoe look dam standard nice product amazing product quality value money good,amazon brand symbol men synthetic formal shoe,0.5121212121212122,Positive,1
nivia mens appeal badminton shoes,,4.1,,Soft cushioned tongue and ankle textured outsole with patterned grooves and lugs reinforced heel collar soft and padded footbed overlay detail.Nivia badminton shoe features an asymmetrical fit that gives the foot the support and stability it needs for more accurate footwork.Nivia power cushion absorbs shock then reverses the impact energy for smooth transfer into the next movement.,value money looks good heel cushion required perfect badminton usage months comfortable fits well female shoe lace looks old though good good shoes k silver shade buy sizer bigger normal bad product badminton purpose best beginners,3.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 3.0 out of 5 stars|| 4.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 3.0 out of 5 stars|| 1.0 out of 5 stars|| 4.0 out of 5 stars,Men,57,384,34,7,18,11,384,316,207,3,316,valu money look good heel cushion requir perfect badminton usag month comfort fit well femal shoe lace look old though good good shoe k silver shade buy sizer bigger normal bad product badminton purpos best beginn,nivia men appeal badminton shoe,value money look good heel cushion required perfect badminton usage month comfortable fit well female shoe lace look old though good good shoe k silver shade buy sizer bigger normal bad product badminton purpose best beginner,nivia men appeal badminton shoe,0.3708333333333334,Positive,1
campus mens running shoes,,4.2,,Campus presents  running shoes which will help you give your best during the workout and training sessions.,worth buyinggood product price good shows lovely price rs go friendly fit feet superb one good product size fitting issue fully satisfied campus shoe shoe really good comfortable also,4.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 3.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 4.0 out of 5 stars,Men,17,107,26,7,18,11,107,253,207,3,253,worth buyinggood product price good show love price rs go friendli fit feet superb one good product size fit issu fulli satisfi campu shoe shoe realli good comfort also,campu men run shoe,worth buyinggood product price good show lovely price r go friendly fit foot superb one good product size fitting issue fully satisfied campus shoe shoe really good comfortable also,campus men running shoe,0.5522727272727272,Positive,1
bata men sort formal shoes,,4.1,,Elevate your style with this classy pair of Formal Shoes from the house of BATA. Featuring a contemporary refined design with exceptional comfort this pair is perfect to give your quintessential dressing an upgrade.,looks good lasts long order one size lesser best quality product prize bata best always fabulous product good ch broken looking like damegd product nice comfortable fit bata sole quality good used shoes bit damages front,1.0 out of 5 stars|| 3.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 2.0 out of 5 stars,Men,34,215,26,7,18,12,215,309,207,3,309,look good last long order one size lesser best qualiti product prize bata best alway fabul product good ch broken look like damegd product nice comfort fit bata sole qualiti good use shoe bit damag front,bata men sort formal shoe,look good last long order one size lesser best quality product prize bata best always fabulous product good ch broken looking like damegd product nice comfortable fit bata sole quality good used shoe bit damage front,bata men sort formal shoe,0.38928571428571435,Positive,1
lancer mens road running shoe,,3.6,, Lancer men's outdoor multi-utility sports shoes made of mesh eva for good durability and comes with latest design and elegant look. It features lace-up closure and closed toe for comfortable wearing all day long. Brand: Lancer___Gender: Men___Material: Mesh___Sole Material: Manmade,quality upto mark product quantity poor thanks product dammag shoes review quality must maintained per price good product good product good product qlity bakwaas,1.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 3.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars,Men,40,283,30,7,18,11,283,193,207,3,193,qualiti upto mark product quantiti poor thank product dammag shoe review qualiti must maintain per price good product good product good product qliti bakwaa,lancer men road run shoe,quality upto mark product quantity poor thanks product dammag shoe review quality must maintained per price good product good product good product qlity bakwaas,lancer men road running shoe,0.38,Positive,1
maddy mens sneaker set pairs,,3.7,,Elevate your style with this classy pair of Sneaker from the house of Maddy brand. Featuring a contemporary refined design with exceptional comfort this pair is perfect to give your quintessential dressing an upgrade.,good cool comfortable stylish good amazon careful packing products good product item chenge cheap quality products maddy perfect combo pack multicolored mens casual sneakers good product average,4.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 3.0 out of 5 stars|| 4.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 2.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars,Men,34,217,36,7,18,11,217,251,207,3,251,good cool comfort stylish good amazon care pack product good product item cheng cheap qualiti product maddi perfect combo pack multicolor men casual sneaker good product averag,maddi men sneaker set pair,good cool comfortable stylish good amazon careful packing product good product item chenge cheap quality product maddy perfect combo pack multicolored men casual sneaker good product average,maddy men sneaker set pair,0.39166666666666655,Positive,1
advick mens office derby semi casual shoes,,4.0,,Our Products Are Manufactured Under Skilled Workers  Having Experience From Last 10th Generations. Advick Shoe Research Mostly In Quality With Genuine Price. You Fulfill Your Need For Trendy Fashions Casual & Formal Shoes Of Long Durability TPR SOLE High Griping  Water Resistance & Shock Proof.,colour shape size perfect fit bad experience beautiful good product excellent fit main issue perfect comfortable awesome productmust try nice,4.0 out of 5 stars|| 2.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 3.0 out of 5 stars|| 5.0 out of 5 stars|| 3.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars,Men,45,295,43,7,18,11,295,185,207,3,185,colour shape size perfect fit bad experi beauti good product excel fit main issu perfect comfort awesom productmust tri nice,advick men offic derbi semi casual shoe,colour shape size perfect fit bad experience beautiful good product excellent fit main issue perfect comfortable awesome productmust try nice,advick men office derby semi casual shoe,0.5680555555555555,Positive,1
red tape men rtea loafers,,3.3,,Ensure ultimate cushioning and comfort for your feet with this pair of brown slip-on shoes for men from Red Tape. While the lightweight synthetic PU (polyurethane) upper assures ultimate comfort for your feet the tough rubber outsole assures better flexibility and durability.  Launched in 1996 in India Red Tape has carved a niche for itself as a World-Class High Fashion range of Semi-Formal & Casual range of Shoes & Sandals. With its recent launch of Apparels & Accessories along with opening of Retail Stores the brand is poised for the next level of growth in the Indian market. Red Tape was launched in the UK in 1992 the brand has already earned international recognition with its success in UK India South Africa US Canada New Zealand etc. Red Tape is now being sold in over 17 countries world-wide. The product development is monitored by the Company Studios in UK & South Africa where top quality designers from Italy US &India come together to make world class designs in tune with the latest fashion trends. The brand has achieved an enviable position by its proactive approach. ,feel like ordinary shoe redtape shoes dont match feel great product size bigger usual might work duplicate good product awesome product good nice product okay value money,2.0 out of 5 stars|| 3.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 4.0 out of 5 stars|| 1.0 out of 5 stars|| 4.0 out of 5 stars,Men,185,1092,29,8,18,10,1092,250,207,3,250,feel like ordinari shoe redtap shoe dont match feel great product size bigger usual might work duplic good product awesom product good nice product okay valu money,red tape men rtea loafer,feel like ordinary shoe redtape shoe dont match feel great product size bigger usual might work duplicate good product awesome product good nice product okay value money,red tape men rtea loafer,0.4222222222222223,Positive,1
bata mens formal shoes,,3.9,,Elevate your style with this classy pair of Formal Shoe from the house of BATA brand. Featuring a contemporary refined design with exceptional comfort this pair is perfect to give your quintessential dressing an upgrade.,good good good good fitting issues product need improvement nice pricing nice one,4.0 out of 5 stars|| 4.0 out of 5 stars|| 4.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 4.0 out of 5 stars|| 4.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 3.0 out of 5 stars,Men,35,220,23,7,18,11,220,109,207,3,109,good good good good fit issu product need improv nice price nice one,bata men formal shoe,good good good good fitting issue product need improvement nice pricing nice one,bata men formal shoe,0.6428571428571429,Positive,1
bata mens jalsa laser formal shoes,,4.0,,Experience great comfort walking in this pair of formal shoes from the house of BATA Featuring a contemporary refined design with exceptional comfort this pair is perfect to give your quintessential dressing an upgrade.,priced correct dout bata good product nice bad service go auper quality fit best good product good nice one,1.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 4.0 out of 5 stars,Men,34,219,35,7,18,11,219,185,207,3,185,price correct dout bata good product nice bad servic go auper qualiti fit best good product good nice one,bata men jalsa laser formal shoe,priced correct dout bata good product nice bad service go auper quality fit best good product good nice one,bata men jalsa laser formal shoe,0.5,Positive,1
sparx mens sxg sneakers,,4.1,,Breathable mesh for lightweight and comfort. Side hexa wings integrated with laces for enhanced stability.,great product great price par comfortable comfortable go chief best faltu liya wait price slash good,4.0 out of 5 stars|| 2.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars,Men,15,106,28,7,18,10,106,175,207,3,175,great product great price par comfort comfort go chief best faltu liya wait price slash good,sparx men sxg sneaker,great product great price par comfortable comfortable go chief best faltu liya wait price slash good,sparx men sxg sneaker,0.6833333333333332,Positive,1
sir corbett mens jogging black sports shoesbig,,3.7,,Sir Corbett Men's Jogging Sports Shoes,acceptable shoes daily usagewith compromise course cheap quality comfortable expected mmmm get pay go extremely comfortable people size worst experience ever five stars excellent fit happy product,3.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 2.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars,Men,6,38,48,7,18,11,38,285,207,3,285,accept shoe daili usagewith compromis cours cheap qualiti comfort expect mmmm get pay go extrem comfort peopl size worst experi ever five star excel fit happi product,sir corbett men jog black sport shoesbig,acceptable shoe daily usagewith compromise course cheap quality comfortable expected mmmm get pay go extremely comfortable people size worst experience ever five star excellent fit happy product,sir corbett men jogging black sport shoesbig,0.25555555555555554,Positive,1
amazon brand symactive men running shoes,,3.5,,Our wide variety of sports footwear is made keeping you in mind. Available in a plethora of colours shapes and materials symactive shoes have been crafted with the single-minded objective of comfort style and longevity. All of this at a you simple can’t say no to.,good shoes,5.0 out of 5 stars,Men,46,264,42,7,18,9,264,15,18,3,15,good shoe,amazon brand symact men run shoe,good shoe,amazon brand symactive men running shoe,0.7,Positive,1
nivia airstrike football studs blackfluorescent green,,3.8,,Leave your opponent in the dust with comfiest football boot from Nivia soccer string. This boot is built to meet the demands for novice players and the feedback from them has been phenomenal. So geared up for modern game to turbo-charge your movements and shatter the defence of your rivals.,step play overall review size perfect hard ground comfortable uncomfortable feet plus size wrong bad quality quality better expected shoes smaller good absolute waste money,5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 2.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars,Men,50,291,54,7,18,11,291,271,207,3,271,step play overal review size perfect hard ground comfort uncomfort feet plu size wrong bad qualiti qualiti better expect shoe smaller good absolut wast money,nivia airstrik footbal stud blackfluoresc green,step play overall review size perfect hard ground comfortable uncomfortable foot plus size wrong bad quality quality better expected shoe smaller good absolute waste money,nivia airstrike football stud blackfluorescent green,0.039102564102564116,Positive,1
campus mens tyson running shoes,,4.0,,Campus sport shoes are premium quality light weight shoe optimised for running and all day usage. Unique Mesh weaving offers incredible breathability.,complaint police station nice nice product please make stock size product nice onethanks nice fit comfortable comfortable budget friendly cautious design bad packing,1.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars,Men,22,150,32,7,18,12,150,251,207,3,251,complaint polic station nice nice product pleas make stock size product nice onethank nice fit comfort comfort budget friendli cautiou design bad pack,campu men tyson run shoe,complaint police station nice nice product please make stock size product nice onethanks nice fit comfortable comfortable budget friendly cautious design bad packing,campus men tyson running shoe,0.2975,Positive,1
lancer mens running shoes,,3.5,,LCR brand includes the sports shoe and floaters range which signifies today's youth image. These uniquely designed Footwear's give you the comfort you need with the style you want. It comes in various range & variety and hence fulfills the need of all.,item model different complain refund bad quality colour amazon app shoes lancer fake company selling name lancer one star worth left shoes narrower right good really dont like worst,1.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 3.0 out of 5 stars|| 2.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars,Men,43,252,26,7,18,12,252,292,207,3,292,item model differ complain refund bad qualiti colour amazon app shoe lancer fake compani sell name lancer one star worth left shoe narrow right good realli dont like worst,lancer men run shoe,item model different complain refund bad quality colour amazon app shoe lancer fake company selling name lancer one star worth left shoe narrower right good really dont like worst,lancer men running shoe,-0.07936507936507933,Negative,-1
sparx mens running shoes,,4.1,,Flaunt with these stylish and unique sports shoes as per the latest fashion trend from the house of Sparx. Super comfortable sports shoes with Mesh as upper material and EVA as sole material.,fake product good quality run run run awosome product review days useits laces hole got wide tighteningnot recommended expected trendy bright look size else look wise awesome need test durability though perfect running stylish,1.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 2.0 out of 5 stars|| 3.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars,Men,33,191,25,7,18,12,191,318,207,3,318,fake product good qualiti run run run awosom product review day useit lace hole got wide tighteningnot recommend expect trendi bright look size els look wise awesom need test durabl though perfect run stylish,sparx men run shoe,fake product good quality run run run awosome product review day useits lace hole got wide tighteningnot recommended expected trendy bright look size else look wise awesome need test durability though perfect running stylish,sparx men running shoe,0.45,Positive,1
adidas mens clinchx running shoe,,4.0,,Upper: Mesh upper for lightweight and breathability. Midsole: lightstrike IMEVA midsole with visible adiprene providing protection from harmful impact forces.,fake product dont buy cheap products like rs shoes study light weight comfortable great looks looks barcode found seems like fist copy packaging garbage super perfect good product fake ones,1.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 2.0 out of 5 stars|| 2.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 3.0 out of 5 stars|| 1.0 out of 5 stars,Men,20,158,36,8,18,11,158,236,207,3,236,fake product dont buy cheap product like rs shoe studi light weight comfort great look look barcod found seem like fist copi packag garbag super perfect good product fake one,adida men clinchx run shoe,fake product dont buy cheap product like r shoe study light weight comfortable great look look barcode found seems like fist copy packaging garbage super perfect good product fake one,adidas men clinchx running shoe,0.337037037037037,Positive,1
